name,seq
django_migrations,32
django_content_type,14
auth_permission,56
auth_group,5
hotel_your_choice_booking,3
django_admin_log,41
hotel_your_choice_amenity,0
hotel_your_choice_photo,63
hotel_your_choice_customuser,4
auth_group_permissions,129
hotel_your_choice_customuser_groups,5
hotel_your_choice_customuser_user_permissions,110
hotel_your_choice_hotel_other_photos,103
hotel_your_choice_hotel,3
hotel_your_choice_rating,5
hotel_your_choice_hotel_rated_bookings,3
hotel_your_choice_comment,2
